epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49228,2.00217,5.69483,1.66073,0.00175,0.52542,0.00226,0.00108,1.31253,4.23329,1.07737,0.00016,0.00016,0.00016
2,5.82638,1.31323,2.95958,1.03856,0.00316,0.94915,0.00731,0.00424,1.11221,3.77427,0.91444,0.000333268,0.000333268,0.000333268
3,6.91663,1.15001,1.84893,0.95562,0.00311,0.9322,0.00801,0.00513,1.05053,3.69961,0.8807,0.000499408,0.000499408,0.000499408
4,7.96061,1.06446,1.56474,0.91653,0.00316,0.94915,0.0086,0.0057,1.01052,3.67836,0.88106,0.00065842,0.00065842,0.00065842
5,9.03421,1.10842,1.63211,0.93163,0.00299,0.89831,0.006,0.00327,1.00471,3.8145,0.9354,0.000810304,0.000810304,0.000810304
6,10.0917,1.07443,1.46186,0.94688,0.00311,0.9322,0.00488,0.00315,0.98836,3.6681,0.93464,0.00095506,0.00095506,0.00095506
7,11.1239,1.09188,1.33059,0.94964,0.00311,0.9322,0.04633,0.03316,1.02039,3.2685,0.95458,0.00109269,0.00109269,0.00109269
8,12.1195,1.06678,1.37576,0.9653,0.00311,0.9322,0.1143,0.07994,0.9874,3.10998,0.94654,0.00122319,0.00122319,0.00122319
9,13.1127,1.04419,1.26704,0.94132,1,0.26918,0.92649,0.61427,1.09001,2.46252,0.96871,0.00134656,0.00134656,0.00134656
10,14.087,1.00446,1.16701,0.92985,0.7211,0.52587,0.71388,0.50759,1.01552,2.24454,0.93554,0.0014628,0.0014628,0.0014628
11,15.007,0.92917,1.12389,0.92354,1,0.65833,0.93567,0.66992,0.97056,2.10237,0.94492,0.00157192,0.00157192,0.00157192
12,15.9795,0.92792,1.09179,0.90996,0.96391,0.90557,0.95978,0.70054,0.98983,1.32033,0.97549,0.0015644,0.0015644,0.0015644
13,16.8996,0.99445,1.05465,0.94585,1,0.95968,0.98972,0.73256,0.94768,1.16128,0.92209,0.0015248,0.0015248,0.0015248
14,17.8102,0.958,1.00775,0.92257,0.98224,0.93744,0.98403,0.72344,0.96541,1.07106,0.93254,0.0014852,0.0014852,0.0014852
15,18.7247,1.01242,1.02004,0.89942,0.99528,0.9322,0.98381,0.73916,0.97023,1.0524,0.92472,0.0014456,0.0014456,0.0014456
16,19.6476,0.98814,0.99047,0.9263,0.99738,0.9322,0.98836,0.7264,0.93419,0.85947,0.91915,0.001406,0.001406,0.001406
17,20.5346,0.98984,0.98543,0.95677,1,0.94639,0.99256,0.74121,0.93516,0.73472,0.91701,0.0013664,0.0013664,0.0013664
18,21.4578,0.9246,0.89231,0.91631,1,0.96421,0.99433,0.73861,0.90527,0.66807,0.97488,0.0013268,0.0013268,0.0013268
19,22.3706,0.86729,0.85394,0.8868,0.99851,0.98305,0.99483,0.75425,0.86662,0.64595,0.88955,0.0012872,0.0012872,0.0012872
20,23.2809,0.86859,0.83485,0.89067,1,0.98813,0.995,0.73655,0.92718,0.6585,0.95048,0.0012476,0.0012476,0.0012476
21,24.1793,0.87113,0.80401,0.88466,0.99252,0.98305,0.99467,0.752,0.89256,0.66821,0.89673,0.001208,0.001208,0.001208
22,25.0771,0.89787,0.82661,0.90314,1,0.96926,0.99308,0.71641,0.95358,0.66251,0.90552,0.0011684,0.0011684,0.0011684
23,25.9974,0.87396,0.77968,0.89535,0.98031,0.98305,0.9934,0.7391,0.8725,0.62288,0.89317,0.0011288,0.0011288,0.0011288
24,27.0416,0.85088,0.74586,0.89741,1,0.96533,0.99408,0.75599,0.87111,0.66583,0.89345,0.0010892,0.0010892,0.0010892
25,28.1461,0.79514,0.72976,0.86923,1,0.97758,0.99408,0.76034,0.88525,0.65128,0.89755,0.0010496,0.0010496,0.0010496
26,29.2304,0.78766,0.71404,0.86282,0.99673,0.9661,0.99418,0.73349,0.97082,0.66553,0.91257,0.00101,0.00101,0.00101
27,30.3079,0.81556,0.72264,0.87236,1,0.97944,0.99483,0.75118,0.87979,0.62508,0.88613,0.0009704,0.0009704,0.0009704
28,31.469,0.76204,0.71121,0.88509,0.98332,0.9992,0.99483,0.76192,0.87163,0.58779,0.893,0.0009308,0.0009308,0.0009308
29,32.6347,0.74011,0.64888,0.87718,0.98112,1,0.99483,0.75355,0.88945,0.56617,0.89562,0.0008912,0.0008912,0.0008912
30,33.7857,0.77164,0.64607,0.86466,1,0.9802,0.99483,0.76006,0.86144,0.57873,0.88373,0.0008516,0.0008516,0.0008516
31,34.9449,0.75745,0.62423,0.85539,0.99755,0.9661,0.99374,0.7511,0.8636,0.58934,0.89095,0.000812,0.000812,0.000812
32,36.1013,0.78622,0.64567,0.87137,0.99933,0.9661,0.99178,0.75545,0.86489,0.60279,0.88804,0.0007724,0.0007724,0.0007724
33,37.1071,0.74653,0.63877,0.86439,0.99807,0.98305,0.99319,0.73948,0.89835,0.59806,0.89806,0.0007328,0.0007328,0.0007328
34,38.1263,0.83073,0.65912,0.88576,0.99868,0.98305,0.99256,0.7101,0.95645,0.61452,0.91339,0.0006932,0.0006932,0.0006932
35,39.1615,0.80068,0.64889,0.86218,0.99809,0.98305,0.99297,0.73784,0.88888,0.58092,0.8985,0.0006536,0.0006536,0.0006536
36,40.2207,0.78308,0.61949,0.87629,0.99829,0.98305,0.99437,0.75656,0.8332,0.57838,0.88433,0.000614,0.000614,0.000614
37,41.2558,0.70076,0.61507,0.84084,0.99762,0.98305,0.99437,0.74714,0.85699,0.54947,0.88786,0.0005744,0.0005744,0.0005744
38,42.3813,0.72976,0.6076,0.87875,1,0.9824,0.99452,0.76887,0.83559,0.54709,0.88163,0.0005348,0.0005348,0.0005348
39,43.4302,0.69681,0.57436,0.86382,1,0.98211,0.99467,0.76826,0.84295,0.53808,0.87813,0.0004952,0.0004952,0.0004952
40,44.56,0.71592,0.58909,0.8509,1,0.9978,0.995,0.76122,0.84463,0.52106,0.87272,0.0004556,0.0004556,0.0004556
41,69.9261,0.7464,0.67028,0.86555,1,0.9977,0.995,0.74928,0.84686,0.53336,0.87289,0.000416,0.000416,0.000416
42,71.2115,0.6922,0.6903,0.84985,1,0.99735,0.995,0.71935,0.91129,0.53918,0.88879,0.0003764,0.0003764,0.0003764
43,72.5251,0.70963,0.68045,0.87027,1,0.99819,0.995,0.76072,0.84312,0.49944,0.86973,0.0003368,0.0003368,0.0003368
44,73.6905,0.65612,0.62869,0.8459,0.99846,0.98305,0.99483,0.76865,0.79542,0.4747,0.86323,0.0002972,0.0002972,0.0002972
45,74.7569,0.66655,0.61612,0.85931,0.99936,0.98305,0.99483,0.7466,0.83107,0.48381,0.88213,0.0002576,0.0002576,0.0002576
46,75.7805,0.61599,0.61359,0.85393,0.99943,0.98305,0.99483,0.76685,0.81389,0.49057,0.87329,0.000218,0.000218,0.000218
47,76.8143,0.58675,0.60486,0.85223,1,0.99633,0.995,0.77491,0.79809,0.49222,0.86389,0.0001784,0.0001784,0.0001784
48,77.842,0.63014,0.59311,0.84195,1,0.99786,0.995,0.78101,0.79984,0.46628,0.86666,0.0001388,0.0001388,0.0001388
49,78.844,0.61507,0.59377,0.8425,1,0.99789,0.995,0.76547,0.7986,0.45699,0.86631,9.92e-05,9.92e-05,9.92e-05
50,79.8736,0.57693,0.57415,0.82531,1,0.99764,0.995,0.77301,0.79211,0.45866,0.86595,5.96e-05,5.96e-05,5.96e-05
